Name,Japanese_name,Type,Episodes,Release_season,Rating
Dragon Ball GT,,TV   ,64.0,Winter, Shounen
Ginga Patrol PJ,,TV   ,26.0,, Sci Fi"
Saber Marionette R, SM Girls: Saber Marionette R,OVA  ,3.0,, Comedy
Buzzer Beater,,TV   ,13.0,Winter, Shounen
Stratos 4,,TV   ,13.0,Winter, Aviation
Rilakkuma: Strawberry Party,,Web  ,1.0,, Bears
Tonkatsu DJ Agetarou,,TV   ,12.0,Spring, Shounen
Neon Genesis IMPACTS, Nihon Animator Mihon'ichi: Neon Genesis IMPACTS,Web  ,1.0,, Shoujo-ai
Nemuranu Machi no Cinderella: Hirose Ryouichi - Memorial Date,,Web  ,1.0,,3.31
Pokemon: Eevee and Colorful Friends, Pokemon: Eievui to Colorful Friends,Web  ,1.0,, Non-Human Protagonists
ID-0,,TV   ,12.0,Spring, Sci Fi
Hello Kitty no Alps no Shoujo Heidi, Hello Kitty and Friends: Heidi,OVA  ,1.0,, Anthropomorphic
Tonari no Tamageta-kun,,TV   ,60.0,, Sci Fi
Cocomong 3, Naengjang-go Nala Cocomong 3,TV   ,26.0,, Family Friendly
Occultic;Nine,,TV   ,12.0,Fall , Sci Fi
First Love Monster OVA, Hatsukoi Monster: Mou Chotto dake Tsuzukunja,OVA  ,1.0,, Romance
Shin Koihime Musou: Live Revolution,,OVA  ,1.0,,3.31
Lady Georgie,,TV   ,45.0,, Drama
Zhongguo Jingqi Xiansheng, Chinese Mystery Man,Web  ,63.0,, Magic
Cookin' Idol Ai! Mai! Main!,,TV   ,305.0,Spring, Family Friendly
Juuni Senshi Bakuretsu Eto Ranger,,TV   ,39.0,Spring, Fantasy
Mysteria Friends, Manaria Friends,TV   ,10.0,Winter, GL
Uchuu Taitei God Sigma, Space Emperor God Sigma,TV   ,50.0,, Mecha
A Dark Rabbit Has Seven Lives, Itsuka Tenma no Kuro Usagi,TV   ,12.0,Summer, Romance
God Mazinger,,TV   ,23.0,, Mecha
Masquerade, Gosenzo San'e,OVA  ,4.0,, Mystery
Gerotan,,Web  ,6.0,, Short Episodes
Toushi Gordian,,TV   ,73.0,, Mecha
Battle Spirits: Double Drive,,TV   ,51.0,Spring, Fantasy
Chichi Kaeru,,Web  ,1.0,, Animal Protagonists
To the Abandoned Sacred Beasts, Katsute Kami Datta Kemono-tachi e,TV   ,12.0,Summer, Drama
Luger Code 1951,,Web  ,1.0,Fall , Sci Fi
Shisukon Ouji,,TV   ,14.0,, Based on a Manga"
Kuusou Suizokukan,,OVA  ,2.0,, Short Episodes"
Iconic Field, Nihon Animator Mihonichi: Iconic Field,Web  ,1.0,, Drama
Hitotsuboshi-ke no Ultra Baasan,,TV   ,13.0,,3.31
Ojisan and Marshmallow, Oji-san to Marshmallow,TV   ,12.0,Winter, Romance
Muzumuzu Eighteen,,TV   ,20.0,, Short Episodes"
Eigo de Asobo: Tanken Goblin Tou,,TV   ,100.0,, Comedy
Osu!! Karate Bu,,OVA  ,4.0,, Martial Arts
A Destructive God Sits Next to Me, Boku no Tonari ni Ankoku Hankaishin ga Imasu.,TV   ,12.0,Winter, Josei
Convenience Store Senki Purin-tai,,Web  ,8.0,, Convenience Store
Buppu na Mainichi,,TV   ,50.0,, Animal Protagonists
Hai! Akko Desu,,TV   ,163.0,, Slice of Life"
Maeterlinck's Blue Bird, Maeterlinck no Aoi Tori: Tyltyl Mytyl no Bouken Ryokou,TV   ,26.0,, Fantasy
Baldr Force EXE, Baldr Force EXE Resolution,OVA  ,4.0,, Mecha
Is It Wrong to Try to Pick Up Girls in a Dungeon? II OVA, Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II: Familia Myth OVA,OVA  ,1.0,, Fantasy
Rilakkuma: Tebukuro wo Todoke ni, Rilakkuma: The Handmade mittens were presented to Chairoikoguma,Web  ,1.0,, Bears
Dropout Idol Fruit Tart, Ochikobore Fruit Tart,TV   ,12.0,Fall , Slice of Life
Eyedrops Special Episode,,Web  ,2.0,, Promotional
Gowapper 5 Godam,,TV   ,36.0,,3.31
Titipo Titipo,,TV   ,26.0,, Korean Animation
Bloomed Words, Ohanashi no Hana,Web  ,1.0,,3.31
O-bake no... Holly, Holly the Ghost,TV   ,200.0,, Fantasy
Samurai Flamenco,,TV   ,22.0,Fall , Drama
Cyborg 009 (1968),,TV   ,26.0,, Sci Fi
Magical Sempai, Tejina-Senpai,TV   ,12.0,Summer, Ecchi
Idaten Jump,,TV   ,52.0,Fall , Adventure
Monster Strike: The Fading Cosmos, Monster Strike: Kieyuku Uchuu-hen,Web  ,13.0,Fall , Fantasy
Tokyo Underground,,TV   ,26.0,Spring, Shounen
Denkou Chou Tokkyuu Hikarian,,TV   ,52.0,Spring, Comedy
Rilakkuma: Ichigo,,Web  ,1.0,, Bears
ACTORS -Songs Connection-,,TV   ,12.0,Fall , School Club
Battle Spirits: Saikyou Ginga Ultimate Zero, Saikyou Ginga Ultimate Zero: Battle Spirits,TV   ,49.0,Fall , Based on a Card Game"
Someday's Dreamers, Mahou Tsukai ni Taisetsu na Koto,TV   ,12.0,Winter, Fantasy
Lalala Lala-chan: Patapata Daisensou,,TV   ,12.0,Fall , Fantasy
The Treasures of the Desert, Sabaku no Takara no Shiro,OVA  ,1.0,, Desert
Bouken Shounen Shadar, Adventure Boy Shadar,TV   ,156.0,, Short Episodes"
Hello Kitty In Puss in Boots, Hello Kitty no Nagagutsu o Naita Neko,OVA  ,1.0,, Animal Protagonists
Space Ace, Uchuu Ace,TV   ,52.0,, Adventure
Night Wizard,,TV   ,13.0,, Adventure
Alice Gear Aegis,,OVA  ,1.0,, Sci Fi
Lapis Re:Lights,,TV   ,12.0,Summer, Fantasy
Alfred J. Quack, Chiisana Ahiru no Ooki na Ai no Monogatari: Ahiru no Kwak,TV   ,52.0,, Anthropomorphic
Nanami-chan 2nd Series,,TV   ,16.0,Spring, Family Friendly
Drifters: Kokuou-sama Goranshin OVA, Drifters: The Black King Show OVA,OVA  ,1.0,, Parody"
Happy Lesson OVA,,OVA  ,5.0,, Harem
Air Master,,TV   ,27.0,Spring, Ecchi
Transformers: Armada, Chou Robot Seimeitai Transformers Micron Densetsu,TV   ,52.0,Winter, Mecha
The [email protected]: Cinderella Girls Gekijou - 5 Shuunen Kinen Short Anime,,Web  ,1.0,, Chibi
X OVA: Episode 0,,OVA  ,1.0,, Supernatural
Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita Mini Anime,,Web  ,4.0,, Comedy
Tsurupika Hagemaru,,TV   ,59.0,,3.3
RobiHachi,,TV   ,12.0,Spring, Comedy
Cagaster of an Insect Cage, Mushikago no Cagaster,Web  ,12.0,Winter, Adventure
Neko Machi, Cat City,OVA  ,1.0,, Horror
Karuizawa Syndrome,,OVA  ,1.0,, Drama
Rilakkuma: Kiiroitori Diary,,Web  ,1.0,, Birds
Rilakkuma: Shiawase wo Yobu Kiiroitori Sennin,,Web  ,1.0,, Birds
Duel Masters King,,TV   ,47.0,Spring, Shounen
Overman King Gainer,,TV   ,26.0,Fall , Mecha
Mighty Space Miners, Oira Uchuu no Tankoufu,OVA  ,2.0,, Sci Fi
Armored Trooper Votoms: Big Battle, Soukou Kihei Votoms: Big Battle,OVA  ,1.0,, Mecha
Ha-P, Happy,OVA  ,1.0,, Melancholy
Angelique: Seichi yori Ai wo Komete,,OVA  ,3.0,, Based on an Otome Game
HameFura: Catarina Nounai Kaigi, HameFura: Catarina's Brain Conference,Web  ,26.0,Winter, Fantasy
Yaiyai Mori no Comic,,Web  ,15.0,, Animal Protagonists
Pompo: The Cinéphile CM, Eiga Daisuki Pompo-san CM,Web  ,1.0,, Promotional
PJ Berri no Mogumogu Munyamunya,,TV   ,20.0,Summer, Fantasy
Hangyodon: Hadaka no Ou-sama,,OVA  ,1.0,, Animal Protagonists
Wakaba*Girl,,TV   ,13.0,Summer, Seinen
Crush Gear Nitro,,TV   ,50.0,Winter, Sci Fi"
Nanocore, Nami Hexin,Web  ,10.0,, Chinese Animation
Lizard Planet,,OVA  ,1.0,, Animal Protagonists
Submarine 707R,,OVA  ,2.0,, Military
Kagaku Ninya-tai Gatchanyan,,Web  ,20.0,, Animal Protagonists
Fujinkoron CM: Fujinkoron-senpai,,Web  ,1.0,, Promotional
Hoshi no Yuuenchi,,OVA  ,1.0,, Sci Fi
Omakase Mamitasu, Omakase! Miracle Cat-dan,TV   ,32.0,Spring, Cats
Tayo the Little Bus 4, Kkoma Bus Tayo 4,TV   ,26.0,, Family Friendly
Nangoku Shounen Papuwa-kun,,TV   ,42.0,, Shounen
Love Live! School Idol Project 2 Recap,,OVA  ,1.0,, Music
Majime ni Fumajime Kaiketsu Zorori,,TV   ,97.0,Winter, Comedy
My Girlfriend is Shobitch OVA, Boku no Kanojo ga Majime Sugiru Shojo Bitch na Ken OVA,OVA  ,1.0,, Ecchi
Denwa Kakumei Naisen,,Web  ,1.0,, Promotional
Ojamajo Doremi, Magical DoReMi,TV   ,51.0,Winter, Apprenticeship
Maken-ki! Two: Takeru Nyotaika!? Minami no Shima de Supoon,,OVA  ,1.0,, Shounen
Neko Nanka Yonde mo Konai.,,TV   ,12.0,, Slice of Life
The World of Narue, Narue no Sekai,TV   ,12.0,Spring, Romance
Anyamaru Tantei Kiruminzuu,,TV   ,50.0,Fall , Magical Girl
Go! Go! Senkyo,,Web  ,10.0,, Anthropomorphic
Recorder and Randsell Mi, Recorder to Randoseru Mi☆,TV   ,12.0,Summer, Seinen
Night Raid 1931, Senkou no Night Raid,TV   ,13.0,Spring, Anime no Chikara
Getter Robo Go,,TV   ,50.0,, Sci Fi
La Seine no Hoshi,,TV   ,39.0,, Historical
Viper's Creed,,TV   ,12.0,Winter, Mecha
Mitchiri Neko,,TV   ,13.0,Winter, Animal Protagonists
Time Bokan: Royal Revival, Time Bokan: Oudou Fukko,OVA  ,2.0,, Comedy
Maken-ki!, Maken-Ki! Battling Venus,TV   ,12.0,Fall , Fantasy
The [email protected]: Cinderella Girls Theater 3rd Season (Web), The,Web  ,7.0,Summer, Idols
Girl Friend Note, Girl Friend (♪),Web  ,3.0,Fall , School Life
Gakumon! Ookami Shoujo wa Kujikenai Special,,Web  ,1.0,Fall , Fantasy
Fireball,,TV   ,13.0,Spring, Sci Fi
Brothers Conflict,,TV   ,12.0,Summer, Romance
Tamagotchi! Miracle Friends,,TV   ,29.0,Fall , Family Friendly
Ikkitousen: Extravaganza Epoch,,OVA  ,2.0,, Ecchi
Goku no Daibouken,,TV   ,39.0,, Fantasy
Oshiete Namie-sensei!,,Web  ,2.0,, Promotional
Spectral Force Chronicle Divergence,,OVA  ,1.0,,3.3
Koi wo Kanaderu Shoujo, Girl Playing Love,Web  ,1.0,, Music
Kishin Taisen Gigantic Formula,,TV   ,26.0,Spring, Mecha
Kamo ga Suki, I Like Ducks,Web  ,1.0,, Shorts"
Larva: House,,TV   ,52.0,, Family Friendly
Super Dimensional Cavalry Southern Cross, Choujikuu Kidan Southern Cross,TV   ,23.0,, Mecha
Ichiman,,Web  ,18.0,, Commercials
Gunparade Orchestra: Ao no Shou - Hikari no Umi kara Tegami o Okurimasu,,OVA  ,1.0,,3.3
Ahiru no Pekkle no Hihou wo Sagase,,OVA  ,1.0,, Animal Protagonists
Nike SB x Mobile Suit Gundam Unicorn,,Web  ,1.0,, Sci Fi
Kirari Kagayaku,,Web  ,1.0,, Slice of Life
GoShogun, Sengoku Majin GoShogun,TV   ,26.0,, Mecha
Tokyo Ravens Specials,,Web  ,3.0,Fall , Chibi
Pretty Rhythm: All Star Selection,,TV   ,11.0,Spring, Ice Skating
Gift: Eternal Rainbow,,TV   ,12.0,Fall , Fantasy
Hong Mao Lan Tu: Qi Xia Chuan,,TV   ,108.0,, Family Friendly"
Monster Strike: Rain of Memories,,Web  ,1.0,Fall , Fantasy
Yamakoshi Mura no Mari to Sanbiki no Koinu,,OVA  ,1.0,, Animal Protagonists
Yamakoshi Mura no Mari to Sanbiki no Koinu,,OVA  ,1.0,, Animal Protagonists
NieA Under 7, NieA under 7 - domestic poor @nimation,TV   ,13.0,Spring, Sci Fi
Transformers: Robots in Disguise,,TV   ,39.0,Spring, Mecha
Majokko Megu-chan,,TV   ,72.0,, Drama
Resident Evil: Infinite Darkness, Biohazard: Infinite Darkness,Web  ,4.0,Summer, Horror
Kubbe PV Full ver.,,Web  ,1.0,, Anthropomorphic
Dawang Bu Gaoxing, The Furious Yama,Web  ,12.0,, Chinese Animation
Kaidan Restaurant,,TV   ,23.0,Fall , Mystery
Zenki Gaiden: Anki Kitan, Kishin Douji Zenki Gaiden: Anki Kitan,OVA  ,1.0,, Based on a Manga"
Puru Pom,,Web  ,8.0,, Slice of Life
The Everyday Tales of a Cat God: Ohanami Ghostbusters, Nekogami Yaoyorozu: Ohanami Ghostbusters,OVA  ,1.0,, Fantasy
Hell Girl: Fourth Twilight, Jigoku Shoujo Yoi no Togi,TV   ,12.0,Summer, Deal with the Devil
Detonator Orgun,,OVA  ,3.0,, Mecha
The [email protected]: Cinderella Girls Theater (Web), The,Web  ,13.0,Spring, Chibi
GR -Giant Robo-,,TV   ,13.0,Winter, Shounen
Little Charo,,TV   ,50.0,, Animal Protagonists
Rilakkuma: Korilakkuma to Chairoikoguma no Happy Ice Cream, Rilakkuma: Korilakkuma and Chairoikoguma - Happy Ice Cream,Web  ,1.0,, Bears
Ashita e Free Kick,,TV   ,52.0,, Soccer
One Pound Gospel, 1 Pound no Fukuin,OVA  ,1.0,, Drama
Wild Arms: Twilight Venom,,TV   ,22.0,Fall , Comedy
Tekken x Customs: Mamoru Hikitsugu Watashi-tachi no Kurashi,,Web  ,1.0,, Shorts"
Locke the Superman: New World Command, Choujin Locke: Shin Sekai Sentai,OVA  ,2.0,, Sci Fi
RahXephon OVA,,OVA  ,1.0,,3.29
Berserk (2016) Recap,,Web  ,1.0,Winter, Fantasy
Ghost in the Shell: Stand Alone Complex - Tachikoma Days (2007), Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi (2007),TV   ,12.0,Spring, Mecha
Yasamura Yasashi no Yasashii Sekai,,Web  ,33.0,Summer, Short Episodes"
Zettai Zetsumei Dangerous Jii-san, Grandpa Danger,TV   ,33.0,, Based on a Manga"
Yamadeloid, Nihon Animator Mihonichi: Yamadeloid,Web  ,1.0,, Sci Fi
Azuki-chan,,TV   ,117.0,, Romance
Casshan, Shinzou Ningen Casshern,TV   ,35.0,, Sci Fi
Youkai Watch, Yo-kai Watch,TV   ,214.0,Winter, Episodic
GeGeGe no Kitarou (1985),,TV   ,108.0,, Japanese Mythology
A-jang.com,,TV   ,13.0,, Korean Animation"
Mugen Senki Fortress,,TV   ,52.0,, Sci Fi
Eiyuu Gaiden Mozaicka,,OVA  ,4.0,, Adventure
Project HAL,,Web  ,3.0,, Mecha
Zettai Zetsumei Dangerous Jii-san 2nd Season, Grandpa Danger 2nd Season,TV   ,51.0,Spring, Based on a Manga"
Domo-kun,,TV   ,37.0,, Family Friendly
Silent Service, Chinmoku no Kantai,OVA  ,3.0,, Drama
Tokusou Kihei Dorvack,,TV   ,36.0,,3.29
Nanami-chan 3rd Series,,TV   ,16.0,Summer, Dogs
Seizei Gambare Mahou Shoujo Kurumi,,Web  ,25.0,Summer, Fantasy
Kuro Gyaru ni Natta kara Shinyuu to Yattemita.,,Web  ,8.0,, Josei
Inazma Delivery,,Web  ,10.0,Fall , Sci Fi
Yakusoku, Promise,Web  ,1.0,, Black and White
Bad Badtz-Maru no Ore no Pochi wa Sekaiichi,,OVA  ,1.0,, Anthropomorphic
Tokyo Cosmo,,Web  ,1.0,, Family Friendly
Gatchaman OVA, Kagaku Ninja-Tai Gatchaman OVA,OVA  ,3.0,, Sci Fi
Wellber no Monogatari: Sisters of Wellber, Sisters of Wellber,TV   ,13.0,Spring, Fantasy
Barakamon: Mijikamon,,Web  ,13.0,Summer, Shounen
Bubu & Bubulina, Nihon Animator Mihonichi: Bubu & Bubulina,Web  ,1.0,, Dancing
Sacred Seven,,TV   ,12.0,Summer, Sci Fi
Barnacle Lou,,TV   ,52.0,, Animal Protagonists
Starship Girl Yamamoto Yohko II, Soreyuke! Uchuu Senkan Yamamoto Yohko II,OVA  ,3.0,, Sci Fi
Cyborg 009: The Cyborg Soldier,,TV   ,52.0,Fall , Adventure
Celestial Method, Sora no Method,TV   ,13.0,Fall , Fantasy
Medabots Damashii, Medabots Spirits,TV   ,39.0,Summer, Proxy Battles
Let's Make a Mug Too, Yakunara Mug Cup Mo,TV   ,12.0,Spring, Art
Encouragement of Climb, Yama no Susume,TV   ,12.0,Winter, Seinen
The Journey Home, Space Bug,TV   ,26.0,Summer, Animal Protagonists
Rilakkuma: Kyou mo Pukapuka Dararakko,,Web  ,1.0,, Bears
Rilakkuma: Motto Nonbiri Neko, Rilakkuma: Motto Nonbiri ♪ Neko,Web  ,1.0,, Bears
Shi Xiong, Zombie Brother,Web  ,41.0,, Comedy
Kero Kero Chime,,TV   ,30.0,Spring, Fantasy
Hello! Sandybell,,TV   ,47.0,, England
Sindbad no Bouken, Sindbad the Sailor,TV   ,52.0,, Desert
The Demon Girl Next Door Mini, Machikado Mazoku Mini,Web  ,36.0,Spring, Chibi
Kankou Taisen Saitama: Sakuya no Tatakai,,Web  ,4.0,, Short Episodes"
To Heart 2,,TV   ,13.0,Fall , School Life
Bannertail: The Story of Gray Squirrel, Seton Doubutsuki: Risu no Banner,TV   ,26.0,, Countryside
Panpaka Pants O New!,,TV   ,26.0,Spring, Animal Protagonists
Maken-Ki! It's Summer! It's Swimsuits! It's Training Camp!, Maken-Ki! Natsu da! Mizugi da! Gasshuku da!,OVA  ,1.0,, Harem
Chou Seimeitai Transformers: Beast Wars Neo,,TV   ,35.0,Winter, Mecha
Mashin Eiyuuden Wataru 2,,TV   ,46.0,,3.29
Super Street Fighter IV,,OVA  ,1.0,, Hand to Hand Combat
Kyoro-chan,,TV   ,91.0,Summer, Animal Protagonists
Pipopapo Patrol-kun,,TV   ,65.0,, Cars
Fantascope Tylostoma,,OVA  ,1.0,, Explicit Sex"
Wild Knights Gulkeeva, Juusenshi Gulkeeva,TV   ,26.0,Spring, Reincarnation"
Poccolies,,TV   ,50.0,Spring, Animal Protagonists
Sekai Monoshiri Ryoko,,TV   ,100.0,, Comedy
Hoshikuzu Paradise, Stardust Paradise,OVA  ,1.0,, Romance"
Mini Vanguard,,TV   ,37.0,Spring, Chibi
Beast Wars II Chou Seimeitai Transformers, Transformers: Beast Wars II,TV   ,43.0,Spring, Mecha
Huckleberry no Bouken, The Adventures of Huckleberry Finn,TV   ,26.0,, 19th Century
Megazone 23 Part III,,OVA  ,2.0,, Mecha
Asa da yo! Kaishain, Kaishain: Shellfish Employees,TV   ,744.0,Spring, Animal Protagonists
Shiguang Guiyu, The Prisoners of Time,Web  ,10.0,, Supernatural"
Ninja Scroll BURST,,Web  ,1.0,, Promotional"
Ijiwaru Baa-san, Bullying Old Woman,TV   ,39.0,, Neighbors
Sohryuden: Legend of the Dragon Kings,,OVA  ,12.0,, Dragons
Perman (1983),,TV   ,526.0,, Shounen
Kimoshiba,,TV   ,26.0,Fall , Slice of Life
Bomberman: Yuuki wo Arigatou - Watashi ga Mimi ni Naru,,OVA  ,1.0,, Educational
Ichiban Chikakute Tooi Hoshi,,Web  ,1.0,, Shorts"
Gekidan Nanatsu no Taizai, Theater Troupe The Seven Deadly Sins,Web  ,13.0,, Fantasy
Usamaru,,Web  ,12.0,Summer, Slice of Life
Chainsaw Bunny: Deleted Scene,,Web  ,1.0,, Shorts"
Project A-Ko 2: Plot of the Daitokuji Financial Group, Project A-Ko 2: Daitokuji Zaibatsu no Inbou,OVA  ,1.0,, Comedy
Tono to Issho 2,,TV   ,12.0,Spring, Seinen
Kamen Rider Zero-One Short Anime: Everyone's Daily Life,,Web  ,5.0,, Slice of Life
Dame Oyaji,,TV   ,26.0,, Comedy
Asatte Dance, Dance Till Tomorrow,OVA  ,2.0,, Drama
Star Ocean EX,,TV   ,26.0,Spring, Fantasy
NG Knight Lamune & 40 EX: Biku Biku Triangle Ai no Arashi Daisakusen,,OVA  ,3.0,, Adventure
Working'!! Announcement Specials,,Web  ,2.0,, Short Episodes"
Jewelpet,,TV   ,52.0,Spring, Animal Protagonists
Devilman: Memorial,,OVA  ,1.0,, Horror
Ikinuke! Bakusou! Kusohamu-chan! Episode 0, Survive! Run Wild! Kusohamu-chan! Episode 0,Web  ,1.0,, Animal Protagonists
DNA² OVA, DNA²: Dokoka de Nakushita Aitsu no Aitsu OVA,OVA  ,3.0,, Sci Fi
AMAIM Warrior at the Borderline, Kyoukai Senki,TV   ,13.0,Fall , Sci Fi
Galactic Gale Baxinger, Ginga Reppuu Baxinger,TV   ,39.0,, Adventure
Final Approach,,TV   ,13.0,Fall , Romance
Fairy Musketeers OVA, Otogi-Juushi Akazukin OVA,OVA  ,1.0,, Fantasy
Getter Robo G, Starvengers,TV   ,39.0,, Mecha
Shounen Ninja Kaze no Fujimaru,,TV   ,65.0,, Adventure
The Magnificent KOTOBUKI, Kouya no Kotobuki Hikoutai,TV   ,12.0,Winter, Adventure
Hong Mao Lan Tu: Kaixin Yike,,TV   ,96.0,, Family Friendly"
Wedding Peach DX, Ai Tenshi Densetsu Wedding Peach DX,OVA  ,4.0,, Shoujo
Aoi Blink, Blue Blink,TV   ,39.0,, Fantasy
High School! Kimengumi,,TV   ,86.0,, Shounen
Guyver: Out of Control, Kyoushoku Soukou Guyver,OVA  ,1.0,, Sci Fi
Magical Angel Sweet Mint,,TV   ,47.0,, Family Friendly
Shoujo Conto All Starlight,,Web  ,26.0,Summer, Chibi
Pororo the Little Penguin 3, Porong Porong Pororo 3,TV   ,52.0,, Slice of Life
Dallyeola Hani,,TV   ,13.0,, Korean Animation
Fireball Charming,,TV   ,13.0,Spring, Sci Fi
Keroro,,TV   ,23.0,Spring, Sci Fi
Oda Shinamon Nobunaga, Oda Cinnamon Nobunaga,TV   ,12.0,Winter, Seinen
Kaijuu Step Wandabada,,TV   ,26.0,Fall , Sci Fi
Gen Hoshino: Sarashimono,,Web  ,1.0,,3.28
New Cutey Honey, Shin Cutey Honey,OVA  ,8.0,, Ecchi
Shadow Skill: Secret of the Kurudan Style,,OVA  ,1.0,, Martial Arts"
Gatchaman II, Kagaku Ninja-Tai Gatchaman II,TV   ,52.0,, Sci Fi
Digimon Savers, Digimon Data Squad,TV   ,48.0,Spring, Adventure
Kiss Dum: Engage Planet, Engage Planet Kiss Dum,TV   ,26.0,Spring, Sci Fi
Morita-san wa Mukuchi,,OVA  ,1.0,, Seinen
Shiritsutantei: Toki Shouzou Trouble Note - Hard & Loose,,OVA  ,1.0,, Detectives
Kiteretsu Daihyakka, Kiteretsu Encyclopedia,TV   ,331.0,, Sci Fi
Nippon-ichi no Otoko no Tamashii 2,,TV   ,16.0,Spring, Crude
Momon's Sand Witch,,Web  ,8.0,, School Life
Tesagure! Bukatsumono: Spin-off Puru Purun Sharumu to Asobou, Tesagure! 3,TV   ,12.0,Spring, Slice of Life
Spookiz Season 3,,Web  ,24.0,, Crude
Pupipo!,,TV   ,15.0,Winter, Fantasy
Donkikko,,TV   ,21.0,,3.28
Hitohira,,TV   ,12.0,Spring, Drama
Kero Kero Keroppi no Bouken: Pink no Kinoko,,OVA  ,1.0,, Animal Protagonists
Hello Kitty's Paradise,,TV   ,16.0,, Anthropomorphic
Meine Liebe Wieder, Ginyuu Mokushiroku Meine Liebe Wieder,TV   ,13.0,Winter, Political
NG Knight Lamune & 40 DX: Wakuwaku Jikuu - Honoo no Daisousasen,,OVA  ,3.0,,3.28
Tomorrow from there, Nihon Animator Mihonichi: Tomorrow from there,Web  ,1.0,, Japan Animator's Exhibition
Mirai Kara Kita Shounen Super Jetter,,TV   ,52.0,, Time Travel
Yagami-kun's Family Affairs, Yagami-kun no Katei no Jijou,OVA  ,3.0,, Romance
DNA², DNA²: Dokoka de Nakushita Aitsu no Aitsu,TV   ,12.0,, Romance
Fate/Kaleid Liner Prisma Illya: Undoukai de Dance!, Fate/Kaleid Liner Prisma Illya: Dance at the Sports Festival!,OVA  ,1.0,, Magical Girl
Genki!! Ekoda-chan,,TV   ,22.0,Spring, Seinen
Toukiden 2,,Web  ,3.0,Spring, Promotional
The Disappearance of Nagato Yuki-chan, Nagato Yuki-chan no Shoushitsu,TV   ,16.0,Spring, Seinen
Hello Kitty no Sambiki no Kobuta, Hello Kitty's Animation Theater: The Three Little Pigs,OVA  ,1.0,, Animal Protagonists
Michel, Suhoyojeong Michel,TV   ,26.0,Summer, Adventure
Tai Chi Chasers, Taichi Senjimon,TV   ,39.0,Spring, Adventure"
Five Star Stories,,OVA  ,1.0,, Fantasy
To Heart: Remember My Memories,,TV   ,13.0,Fall , Androids
Adachi and Shimamura Mini Anime, Adachi to Shimamura Mini Anime,Web  ,30.0,Fall , School Life
Project A-Ko 4: Final,,OVA  ,1.0,, Original Work"
Shizunde Iku yo,,Web  ,1.0,, Shorts"
Nozomi Witches, Bewitching Nozomi,OVA  ,3.0,, Boxing
Flash and Dash, Lei Su Deng Shandian Chong Xian,TV   ,26.0,, Comedy
Trickster," Trickster: Edogawa Ranpo ""Shounen Tanteidan"" yori",TV   ,24.0,Fall , Anime no Me
Kura Sushi,,Web  ,2.0,, Food and Beverage
Miyuki,,TV   ,37.0,, Shounen
Nanaka 6/17,,TV   ,12.0,Winter, Romance
Hamtaro OVA 2: Ham-Hams Ahoy!, Tottoko Hamutaro: Hamuchanzu no Takara Sagashi Daisaku,OVA  ,1.0,, Family Friendly
Seton Doubutsuki: Kuma no Ko Jacky, Monarch: The Big Bear of Tallac,TV   ,26.0,, Drama
Magical Girl Site, Mahou Shoujo Site,TV   ,12.0,Spring, Fantasy
Shampoo Ouji, Shampoo Prince,TV   ,12.0,, Family Friendly
Gourmet Girl Graffiti, Koufuku Graffiti,TV   ,12.0,Winter, Seinen
Paul no Miracle Dai Sakusen, Paul's Miraculous Adventure,TV   ,50.0,, Fantasy"
Hello Kitty no Kieta Santa-san no Boushi, Hello Kitty and Friends: Santa's Missing Hat,OVA  ,1.0,, Anthropomorphic
Meow Meow Japanese History, Neko Neko Nihonshi,TV   ,32.0,Spring, Animal Protagonists
Ogre Slayer, Onikirimaru,OVA  ,4.0,, Shounen
Bary-san no Imabari-ben Kouza,,TV   ,47.0,Summer, Animal Protagonists
Christmas in January, Ichigatsu ni wa Christmas,OVA  ,1.0,, Christmas"
Kaiketsu Tamagon, Tamagon the Counselor,TV   ,195.0,, Sci Fi
Gatchaman, Kagaku Ninja-Tai Gatchaman,TV   ,105.0,, Sci Fi
Fafner: Arcadian Memory, Soukyuu no Fafner: Arcadian Memory,OVA  ,2.0,, Mecha
Persona: Trinity Soul,,TV   ,26.0,Winter, Psychic Powers
Potecco Babies (2011),,Web  ,12.0,, Short Episodes"
Dragon Knight: Wheel of Time, Dragon Knight 4,OVA  ,4.0,, Adventure
Ninpuu Kamui Gaiden,,TV   ,26.0,, Adventure
Armored Trooper Votoms Case;Irvine, Soukou Kihei Votoms Case;Irvine,OVA  ,1.0,, Sci Fi
Transformers: Cybertron, Transformers: Galaxy Force,TV   ,52.0,Winter, Adventure
Delinquent Hamsters, Yankee Hamster,Web  ,11.0,Winter, Animal Protagonists
Clockwork Planet,,TV   ,12.0,Spring, Sci Fi
Shin Obake no Q-Tarou,,TV   ,135.0,, Supernatural
Katana Maidens: Toji no Miko,,TV   ,24.0,Winter, Monsters
Chii-Sui Maru,,TV   ,41.0,, Insects
Stuck Rabbit, Gichigichi Boko-chan,Web  ,4.0,Winter, Animal Protagonists
Akuei to Gacchinpo: Tenkomori,,TV   ,12.0,, Family Friendly"
Massugu ni Ikou,,OVA  ,4.0,, Shoujo
