Name,Japanese_name,Type,Episodes,Release_season,Rating
School Babysitters, Gakuen Babysitters,TV   ,12.0,Winter, Drama
Douluo Dalu, Soul Land,Web  ,26.0,, Fantasy
Major Season 5,,TV   ,25.0,Winter, Shounen
Bungo Stray Dogs 2nd Season,,TV   ,12.0,Fall , Mystery
Mushishi,,TV   ,26.0,Fall , Seinen
Food Wars! The Third Plate, Shokugeki no Souma: San no Sara,TV   ,12.0,Fall , Ecchi
Tengen Toppa Gurren Lagann, Gurren Lagann,TV   ,27.0,Spring, Adventure
Kamisama Kiss, Kamisama Hajimemashita,TV   ,13.0,Fall , Fantasy
Moriarty the Patriot, Yuukoku no Moriarty,TV   ,11.0,Fall , Shounen
Kaguya-sama: Love Is War, Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV   ,12.0,Winter, Drama
Food Wars! Shokugeki no Souma, Shokugeki no Souma,TV   ,24.0,Spring, Ecchi
Mushoku Tensei: Jobless Reincarnation, Mushoku Tensei: Isekai Ittara Honki Dasu,TV   ,11.0,Winter, Adventure
Snow White with the Red Hair 2nd Season, Akagami no Shirayuki-hime 2nd Season,TV   ,12.0,Winter, Fantasy
JoJo's Bizarre Adventure: Stardust Crusaders, JoJo no Kimyou na Bouken: Stardust Crusaders,TV   ,24.0,Spring, Adventure
Natsume Yuujinchou: Itsuka Yuki no Hi ni, Natsume's Book of Friends: Itsuka Yuki no Hi ni,OVA  ,1.0,, Shoujo
No Game No Life,,TV   ,12.0,Spring, Ecchi
Chihayafuru 2,,TV   ,25.0,Winter, Josei
Legend of the Galactic Heroes, Ginga Eiyuu Densetsu,OVA  ,11.0,, Sci Fi
The Quintessential Quintuplets 2, 5-toubun no Hanayome ∬,TV   ,12.0,Winter, Drama
Black Butler: Book of Murder, Kuroshitsuji: Book of Murder,OVA  ,2.0,, Shounen
Food Wars! The Third Plate: Totsuki Train Arc, Shokugeki no Souma: San no Sara - Toutsuki Ressha,TV   ,12.0,Spring, Ecchi
Anohana: The Flower We Saw That Day, Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV   ,11.0,Spring, Romance
Gintama: Aizome Kaori-hen,,OVA  ,2.0,, Comedy
Fate/stay night: Unlimited Blade Works 2,,TV   ,13.0,Spring, Fantasy
Hunter x Hunter OVA 3: Greed Island Final,,OVA  ,14.0,, Adventure
Kuroko's Basketball, Kuroko no Basket,TV   ,25.0,Spring, Sports
Naruto Shippuden,,TV   ,500.0,Winter, Drama
Maid-sama!, Kaichou wa Maid-sama!,TV   ,26.0,Spring, Romance
Fairy Tail: Final Season,,TV   ,51.0,Fall , Adventure
Scissor Seven 3rd Season, Cike Wu Liuqi 3rd Season,Web  ,10.0,, Comedy
Fairy Tail 2,,TV   ,102.0,Spring, Adventure
Chihayafuru 3,,TV   ,24.0,Fall , Josei
Haikyuu!! Riku vs Kuu," Haikyuu!! Land vs. Air & The ""Path"" of the Ball",OVA  ,2.0,, Sports
Bakuman. 2,,TV   ,25.0,Fall , Shounen
Spice and Wolf II, Ookami to Koushinryou 2,TV   ,12.0,Summer, Drama
Magi: The Kingdom of Magic,,TV   ,25.0,Fall , Adventure
Black Butler: Book of Circus, Kuroshitsuji: Book of Circus,TV   ,10.0,Summer, 19th Century
Yona of the Dawn, Akatsuki no Yona,TV   ,24.0,Fall , Fantasy
Toilet-Bound Hanako-kun, Jibaku Shounen Hanako-kun,TV   ,12.0,Winter, Ghosts
Scissor Seven 2nd Season, Cike Wu Liuqi 2nd Season,Web  ,10.0,, Comedy
Non Non Biyori Nonstop,,TV   ,12.0,Winter, Seinen
Samurai Champloo,,TV   ,26.0,Spring, Adventure
Run with the Wind, Kaze ga Tsuyoku Fuiteiru,TV   ,23.0,Fall , Sports
Shouwa Genroku Rakugo Shinjuu,,TV   ,13.0,Winter, Josei
Black Lagoon: The Second Barrage,,TV   ,12.0,Fall , Seinen
Ace of the Diamond: Second Season, Diamond no Ace: Second Season,TV   ,51.0,Spring, Sports
My Teen Romantic Comedy SNAFU Climax, Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,TV   ,12.0,Summer, Romance
Major Season 6,,TV   ,25.0,Spring, Shounen
Bungo Stray Dogs Wan!,,TV   ,12.0,Winter, Seinen
Rascal Does Not Dream of Bunny Girl Senpai, Seishun Buta Yarou wa Bunny Girl-senpai no Yume wo Minai,TV   ,13.0,Fall , Romance
Kingdom 2,,TV   ,39.0,Summer, Drama
InuYasha: The Final Act, Inuyasha Kanketsu-hen,TV   ,26.0,Fall , Shounen
Gintama: The Semi-Final,,Web  ,2.0,Winter, Sci Fi
Major Season 3,,TV   ,26.0,Winter, Shounen
Major: World Series,,OVA  ,2.0,, Shounen
Overlord,,TV   ,13.0,Summer, Adventure
Shanhe Jian Xin,,Web  ,16.0,, BL
Blue Spring Ride: Page.13, Ao Haru Ride: Page.13,OVA  ,1.0,, Romance
The Ancient Magus' Bride, Mahoutsukai no Yome,TV   ,24.0,Fall , Fantasy
Hunter x Hunter OVA 2: Greed Island,,OVA  ,8.0,, Adventure
Monster,,TV   ,74.0,Spring, Mystery
Fullmetal Alchemist, Hagane no Renkinjutsushi,TV   ,51.0,Fall , Adventure
Kids on the Slope, Sakamichi no Apollon,TV   ,12.0,Spring, Josei
Assassination Classroom, Ansatsu Kyoushitsu,TV   ,22.0,Winter, Comedy
Hunter x Hunter,,TV   ,62.0,Fall , Adventure
A Place Further Than the Universe, Sora yori mo Tooi Basho,TV   ,13.0,Winter, Drama
Major Season 2,,TV   ,26.0,Fall , Shounen
Great Pretender,,Web  ,23.0,Summer, Comedy
Fate/stay night: Unlimited Blade Works,,TV   ,12.0,Fall , Fantasy
Quanzhi Gaoshou 2, The King's Avatar 2,Web  ,12.0,, Drama
The Ancient Magus' Bride: Those Awaiting a Star, Mahoutsukai no Yome: Hoshi Matsu Hito,OVA  ,3.0,, Romance
KonoSuba – God's blessing on this wonderful world! 2, Kono Subarashii Sekai ni Shukufuku wo! 2,TV   ,10.0,Winter, Comedy
Rainbow: Nisha Rokubou no Shichinin,,TV   ,26.0,Spring, Seinen
Wotakoi: Love is Hard for Otaku OVA, Wotaku ni Koi wa Muzukashii OVA,OVA  ,2.0,, Romance
Major Season 1,,TV   ,26.0,Fall , Shounen
Mobile Suit Gundam: Iron-Blooded Orphans 2,,TV   ,25.0,Fall , Mecha
Major Season 4,,TV   ,26.0,Winter, Shounen
